f30,f365
421.6830667790118,421.6830667790118
421.6469322910434,421.6469322910434
422.06169221087566,422.06169221087566
422.6473909261895,422.6473909261895
423.2542636514272,423.2542636514272
423.8161216049375,423.8161216049375
424.3128841450671,424.3128841450671
424.7476980390338,424.7476980390338
425.13219032503275,425.13219032503275
425.48009477524374,425.48009477524374
425.8030650953806,425.8030650953806
426.11032824694666,426.11032824694666
426.4082310994154,426.4082310994154
426.70066711053096,426.70066711053096
426.9901430270602,426.9901430270602
427.27801889246166,427.27801889246166
427.56458804944214,427.56458804944214
427.85030384582114,427.85030384582114
428.1350862790423,428.1350862790423
428.418748676474,428.418748676474
428.70121103555994,428.70121103555994
428.98236668622485,428.98236668622485
429.26226896350636,429.26226896350636
429.5407311947729,429.5407311947729
429.81770004498685,429.81770004498685
430.09322884918583,430.09322884918583
430.36737094240743,430.36737094240743
430.64001965457646,430.64001965457646
430.9113349908057,430.9113349908057
431.18118361350116,431.18118361350116
,431.44964552521924
,431.7168540635539
,431.982569220836
,432.2469510021783
,432.510106077656
,432.77182110711874
,433.03220276064167
,433.2913577083
,433.5492059475373
,433.80566747579724
,434.0607956281174
,434.3147504096105
,434.567345147645
,434.81863317725856
,435.0686411659699
,435.3174491163354
,435.56492369076113
,435.81122489435984
,436.05619272201875
,436.29985384125666
,436.54239492470515
,436.78354929717625
,437.02353029882033
,437.262391264675
,437.49991885458985
,437.7362997411965
,437.9714272544197
,438.20516805666557
,438.43800216327236
,438.66944955890176
,438.89969691618535
,439.1288509051983
,439.35675152082786
,439.583398763074
,439.8090326396059
,440.0333598077168
,440.2565136050007
,440.47862736905154
,440.6993810896438
,440.9191481120406
,441.1375817584976
,441.3550020392404
,441.57119561411855
,441.78637582328247
,442.00043599665696
,442.21324279664805
,442.4250095634061
,442.6356562943747
,442.8451829895539
,443.0535363139061
,443.2607962699876
,443.46696285779853
,443.67200940982
,443.87598926108967
,444.0789290791263
,444.2806955263359
,444.4814486078312
,444.68110832105594
,444.87967466601003
,445.0772276452499
,445.2737139237379
,445.4690534989177
,445.6633797083832
,445.8566658846157
,446.0488853600964
,446.2400914698628
,446.4303642164714
,446.6195702623281
,446.8077362749518
,446.9948889218613
,447.1810015355377
,447.36610078349986
,447.5501333307102
,447.7330991771687
,447.91518499550693
,448.09615077805574
,448.2762098649655
,448.4554155912738
,448.6335546168302
,448.81068027667243
,448.98692590839437
,449.1620781718457
,449.3363237396579
,449.5097159468687
,449.68209478836525
,449.85343359662875
,450.0239457118096
,450.19355113135134
,450.3620365151037
,450.52972187329215
,450.69647386832276
,450.8623191677143
,451.027231103948
,451.1912896795802
,451.3543882245358
,451.5166067413711
,451.67789189504856
,451.83824368556816
,451.9977154479675
,452.15630718224656
,452.31404555592417
,452.4708772339627
,452.6268822189186
,452.7820071757542
,452.9363054395071
,453.0897503426586
,453.2421818800958
,453.39389339452555
,453.5446982133162
,453.69456966894904
,453.84374776909317
,453.99204584111703
,454.139543887577
,454.28613523839795
,454.4319532311738
,454.57697119838576
,454.72116247251506
,454.86468705867446
,455.0072516141572
,455.1490428115949
,455.2899806484311
,455.4300917921846
,455.56937624285547
,455.70794067051884
,455.84570507261833
,455.98258944659756
,456.1188338001257
,456.25430479560873
,456.3889757655279
,456.5228467098832
,456.655997631231
,456.78829519197734
,456.9199527322726
,457.0508902495603
,457.1810010737654
,457.3103385399254
,457.4389559830779
,457.5668534032229
,457.69413747043563
,457.82070151464086
,457.9464121982446
,458.07148286139727
,458.19586016906123
,458.3194641186801
,458.4424013803291
,458.5645119488954
,458.6860091645294
,458.80681302467474
,458.92692352933136
,459.0463140109805
,459.16493113458455
,459.2829082377375
,459.40032532299574
,459.5169957177277
,459.63289275441457
,459.7482831082443
,459.862900104029
,459.97687707936257
,460.09021403424504
,460.2028843011576
,460.3148078775439
,460.42630477362945
,460.53694830911354
,460.6469784916653
,460.7564753238412
,460.86530546804715
,460.9735222593208
,461.0810456951058
,461.18803578051484
,461.29422584036
,461.3998292147917
,461.5049259063662
