Close_Scaled,Log Return,SMA_50,SMA_200,RSI,Tindex
0.0022502849645255896,0.5453585363819998,0.0,0.0,0.9063099899371877,0.0
0.003207847150810045,0.5612384752667459,0.0,0.0,0.9063099899371877,0.0005678591709256105
0.005027250859268778,0.5753293716366099,0.0,0.0,0.9063099899371877,0.001135718341851221
0.007612755673281402,0.5875024818435692,0.0,0.0,0.9063099899371877,0.0017035775127768314
0.007828196301314844,0.5488469098661085,0.0,0.0,0.9063099899371877,0.002271436683702442
0.0076846153051495225,0.5430340958237274,0.0,0.0,0.9063099899371877,0.0028392958546280523
0.006726954356314402,0.5298143722163529,0.0,0.0,0.9063099899371877,0.0034071550255536627
0.007349395455662461,0.5554696506261009,0.0,0.0,0.9063099899371877,0.003975014196479273
0.010988183120069772,0.6038772830962884,0.0,0.0,0.9063099899371877,0.004542873367404884
0.007995796349803297,0.49730856970014664,0.0,0.0,0.9063099899371877,0.005110732538330494
0.012280905898310879,0.6139592787377833,0.0,0.0,0.9063099899371877,0.0056785917092561046
0.012185145729180419,0.5438404377615688,0.0,0.0,0.9063099899371877,0.006246450880181715
0.0119457255538441,0.5415600256408566,0.0,0.0,0.9063099899371877,0.0068143100511073255
0.01579997359879498,0.6060011032152881,0.0,0.0,0.9063099899371877,0.0073821692220329355
0.016494234824990905,0.5561686385634308,0.0,0.0,0.9702168411441712,0.007950028392958546
0.016302714486729958,0.542379850286714,0.0,0.0,0.9661367135646638,0.008517887563884156
0.017523617138123226,0.5643027542959445,0.0,0.0,0.9642655880597139,0.009085746734809767
0.02166512593795536,0.6088499081510892,0.0,0.0,0.9661653084054798,0.009653605905735378
0.021329985098508836,0.5402642654928864,0.0,0.0,0.9642092392424729,0.010221465076660987
0.01850519837673084,0.5021164769469726,0.0,0.0,0.9530453277945858,0.010789324247586598
0.0239393706972737,0.6280652585219074,0.0,0.0,0.9670421678898463,0.011357183418512209
0.022143926783607742,0.5182529647553313,0.0,0.0,0.9595417789691304,0.01192504258943782
0.016206993822619753,0.4541684250285928,0.0,0.0,0.9273420710550351,0.01249290176036343
0.007157914622421796,0.40151405372390114,0.0,0.0,0.9049728012348844,0.01306076093128904
0.015129731424922188,0.6723926795393452,0.0,0.0,0.9163540327589083,0.013628620102214651
0.011012182419882804,0.48033307883677484,0.0,0.0,0.9046136592822591,0.014196479273140262
0.0,0.3651206389380862,0.0,0.0,0.8725201747197745,0.014764338444065871
0.007588776125978525,0.670575661016993,0.0,0.0,0.8876927456909465,0.015332197614991482
0.009863040637806991,0.5820088892368279,0.0,0.0,0.8923552673230694,0.01590005678591709
0.011538804092569993,0.5721147824836276,0.0,0.0,0.8973396298385647,0.016467915956842702
0.014906034247652689,0.5984970599962035,0.0,0.0,0.9027880821042874,0.017035775127768313
0.0193556624530678,0.614335534763045,0.0,0.0,0.9036341019290489,0.017603634298693924
0.017768251976134963,0.5209102110277763,0.0,0.0,0.9007416421906943,0.018171493469619535
0.019499974292108063,0.572020822714211,0.0,0.0,0.9108598231355306,0.018739352640545145
0.01654154208676223,0.499682775023039,0.0,0.0,0.8907533966452568,0.019307211811470756
0.01711880919543346,0.5543190961421759,0.0,0.0,0.8968053888076143,0.019875070982396367
0.022722912360660624,0.6311486925646351,0.0,0.0,0.922191281175912,0.020442930153321975
0.025993908286369605,0.5944555415316465,0.0,0.0,0.946940859955302,0.021010789324247586
0.02305963340091788,0.5013483135594538,0.0,0.0,0.9274753496909445,0.021578648495173196
0.02202537221778242,0.5297100134142964,0.0,0.0,0.9349305213036997,0.022146507666098807
0.01981265652753203,0.5116374278808749,0.0,0.0,0.9648591028948078,0.022714366837024418
0.020293630149299163,0.5527167593338521,0.0,0.0,0.9547769586633023,0.02328222600795003
0.02171270973486858,0.5669766645151414,0.0,0.0,0.9523810723494861,0.02385008517887564
0.02094307293000064,0.5336509208019659,0.0,0.0,0.9446420771375532,0.02441794434980125
0.02224180047132257,0.5650914293690107,0.0,0.0,0.9384975009033446,0.02498580352072686
0.02361276294220513,0.5660661781558126,0.0,0.0,0.9281746263314479,0.02555366269165247
0.02868771611344792,0.6209400418259426,0.0,0.0,0.9497735242299274,0.02612152186257808
0.029240924664775708,0.5534974362202827,0.0,0.0,0.9461310393620221,0.02668938103350369
0.02356470508504868,0.4609143597888257,0.0,0.0,0.9347160246391363,0.027257240204429302
0.022217820924019666,0.5250113499253507,0.19393803315326907,0.0,0.9278548367520788,0.027825099375354913
0.023011476781210766,0.5573628256870354,0.1943053362491114,0.0,0.908796846905559,0.028392958546280524
0.024021699159512938,0.560577765459997,0.19467357099915383,0.0,0.896085236044091,0.028960817717206135
0.019908772241844924,0.4829684075606613,0.19493685207294414,0.0,0.8894332908698636,0.029528676888131742
0.02048607885553641,0.5541848244060343,0.19516460448236128,0.0,0.8989648398076903,0.030096536059057353
0.018922687430926732,0.5214033775962548,0.19536088613009533,0.0,0.9024575930657811,0.030664395229982964
0.012452792241498478,0.44439966329450914,0.19544524381850306,0.0,0.8646346530233157,0.031232254400908575
0.006175227243246678,0.4444671771195445,0.19543548276632072,0.0,0.8126863306703177,0.03180011357183418
0.02204945052763599,0.7949521694869575,0.19569555337231787,0.0,0.9110002484428942,0.03236797274275979
0.01168313568412041,0.38444544023506916,0.19570784834220656,0.0,0.8841588916840105,0.032935831913685404
0.011490627720352753,0.5422975142873792,0.19576967824066246,0.0,0.8799065545962749,0.033503691084611015
0.01601241184528801,0.6165445225225827,0.19583569534115366,0.0,0.8790093291195809,0.034071550255536626
